Country,Type of Government,Field Domain,Major Religion,GDP,Population Density,Average weather,Import,Export,Trade type,,,
United States,Democracy,Technology,Christianity,"18,561.93",84,cold,"2,380.00","1,504",Import,,,
China,Communist,Manufacturing,Atheist,"11,391.62",142,moderate,"1,960.00","17,779",Export,,,
Japan,Monarchy,Technology,Buddhism,"4,730.30",339,cold,811.9,622,Import,,,
Germany,Republic,Manufacturing,Christianity,"3,494.90",235,cold,"1,319.00","1,309",Import,,,
United Kingdom,Monarchy,Infrastructure,Christianity,"2,649.89",650,cold,625.7,436,Import,,,
France,Republic,Manufacturing,Christianity,"2,488.28",100,cold,634,510,Import,,,
India,Democracy,Tourism,Hinduism,"2,250.99",386,hot,380.6,262,Import,,,
Italy,Republic,Tourism,Christianity,"1,852.50",197,moderate,448.3,450,Export,,,
Brazil,Republic,Manufacturing,Christianity,"1,769.60",22,hot,241.9,191,Export,,,
Canada,Democracy,Infrastructure,Christianity,"1,532.34",3,cold,206.5,411,Export,,,
South Korea,Republic,Technology,Atheist,"1,404.38",195,moderate,542.9,548,Export,,,
Russia,Federal,Manufacturing,Christianity,"1,267.75",22,cold,323.9,337,Export,,,
Australia,Democracy,Manufacturing,Christianity,"1,256.64",2,hot,245.9,184,Export,,,
Spain,Monarchy,Technology,Christianity,"1,252.16",210,moderate,337.9,283,Import,,,
Mexico,Democracy,Tourism,Christianity,"1,063.61",57,moderate,218.9,380,Import,,,
Indonesia,Democracy,Technology,Buddhism,940.953,130,moderate,178.6,152,Import,,,
Netherlands,Monarchy,"manufacturing
",Atheist,769.93,491,cold,488.8,476,Import,,,
Turkey,Democracy,Manufacturing,Islam,735.716,237,moderate,242.9,153,Export,,,
Switzerland,republic,Manufacturing,Christianity,662.483,490,cold,333.8,290,Export,,,"
"
Saudi Arabia,Monarchy,Infrastructure,Islam,637.785,33,hot,147,284,Export,,,
Argentina,republic,Manufacturing,Christianity,541.748,14,hot,65.56,65,Export,,,
Taiwan Province of China,Democracy,Technology,Buddhism,519.149,1849,moderate,277.5,280,Export,,,
Sweden,Democracy,Tourism,Atheist,517.44,57,cold,158,151,Export,,,
Belgium,Democracy,Tourism,Buddhism,470.179,343,cold,340.2,398,Import,,,
Poland,Monarchy,Manufacturing,Buddhism,467.35,328,cold,207.4,190,Import,,,
Nigeria,republic,Infrastructure,Islam,415.08,151,moderate,54.6,50,Import,,,
Islamic Republic of Iran,republic,Infrastructure,Christianity,412.304,40,moderate,66.97,78,Import,,,
Thailand,Monarchy,Tourism,Buddhism,390.592,327,moderate,219,214,Import,,,
Austria,republic,Manufacturing,Atheist,387.299,99,cold,167.9,141,Export,,,
United Arab Emirates,Monarchy,Tourism,Islam,375.022,81,hot,271.7,323,Import,,,
Mongolia,Republic,Manufacturing,Buddhism,320.12,2,cold,48.784,47,Import,,,
Kazakhstan,Monarchy,Tourism,Islam,290.45,7,moderate,32.874,32,Export,,,
Pakistan,Republic,Infrastructure,Islam,271.05,78,hot,112.32,48,Export,,,
Namibia,Democracy,Manufacturing,Christianity,275.68,5,hot,54.654,87,Import,,,
Mauritius,Democracy,Infrastructure,Hinduism,245.98,54,hot,87.12,92,Export,,,
Sierra leone,Democracy,Infrastructure,Islam,240.58,97,hot,23.45,70,Export,,,
Vatican City,Monarchy,Technology,Christianity,110.8,2,hot,45,105.66,Export,,,
Singapore,Republic,Manufacturing,Buddhism,296.642,61,hot,124.56,93.54,Import,,,
Singapore,republic,Manufacturing,Hinduism,296.642,61,hot,124.56,93.54,Import,,,